Gene Set Name,Gene Set Description,Gene Symbol,Gene Description
,,ELF3,"Id: ENSG00000163435, Name: E74 like ETS transcription factor 3"
,,C5orf49,"Id: ENSG00000215217, Name: cilia and flagella associated protein 90"
,,TUBB4B,"Id: ENSG00000188229, Name: tubulin beta 4B class IVb"
,,SNTN,"Id: ENSG00000188817, Name: sentan, cilia apical structure protein"
,,CAPSL,"Id: ENSG00000152611, Name: calcyphosine like"
,,SPA17,"Id: ENSG00000064199, Name: sperm autoantigenic protein 17"
,,CKB,"Id: ENSG00000166165, Name: creatine kinase B"
,,TSTD1,"Id: ENSG00000215845, Name: thiosulfate sulfurtransferase like domain containing 1"
,,LRRIQ1,"Id: ENSG00000133640, Name: leucine rich repeats and IQ motif containing 1"
,,KIF9,"Id: ENSG00000088727, Name: kinesin family member 9"
,,CIB1,"Id: ENSG00000185043, Name: calcium and integrin binding 1"
,,H2AC19,"Id: ENSG00000272196, Name: H2AC19"
,,DNAAF1,"Id: ENSG00000154099, Name: dynein axonemal assembly factor 1"
,,H2AC18,"Id: ENSG00000203812, Name: H2AC18"
,,DPY30,"Id: ENSG00000162961, Name: dpy-30 histone methyltransferase complex regulatory subunit"
,,ANAPC4,"Id: ENSG00000053900, Name: anaphase promoting complex subunit 4"
,,DNALI1,"Id: ENSG00000163879, Name: dynein axonemal light intermediate chain 1"
,,MT1G,"Id: ENSG00000125144, Name: metallothionein 1G"
,,POLR2I,"Id: ENSG00000105258, Name: RNA polymerase II subunit I"
,,ROPN1L,"Id: ENSG00000145491, Name: rhophilin associated tail protein 1 like"
,,MS4A8,"Id: ENSG00000166959, Name: membrane spanning 4-domains A8"
,,CD24,"Id: ENSG00000272398, Name: CD24 molecule"
,,RP11-356K23.1,"Id: ENSG00000258752, Name: RP11-356K23.1"
,,RAB11FIP1,"Id: ENSG00000156675, Name: RAB11 family interacting protein 1"
,,ODF2L,"Id: ENSG00000122417, Name: outer dense fiber of sperm tails 2 like"
,,UFC1,"Id: ENSG00000143222, Name: ubiquitin-fold modifier conjugating enzyme 1"
,,CCDC170,"Id: ENSG00000120262, Name: coiled-coil domain containing 170"
,,DYNLRB2,"Id: ENSG00000168589, Name: dynein light chain roadblock-type 2"
,,C4orf48,"Id: ENSG00000243449, Name: chromosome 4 open reading frame 48"
,,CITED4,"Id: ENSG00000179862, Name: Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4"
,,MNS1,"Id: ENSG00000138587, Name: meiosis specific nuclear structural 1"
,,MT1H,"Id: ENSG00000205358, Name: metallothionein 1H"
,,PSENEN,"Id: ENSG00000205155, Name: presenilin enhancer, gamma-secretase subunit"
,,UBE2D2,"Id: ENSG00000131508, Name: ubiquitin conjugating enzyme E2 D2"
,,STK33,"Id: ENSG00000130413, Name: serine/threonine kinase 33"
,,FOXJ1,"Id: ENSG00000129654, Name: forkhead box J1"
,,CFAP298,"Id: ENSG00000159079, Name: cilia and flagella associated protein 298"
,,CFAP126,"Id: ENSG00000188931, Name: cilia and flagella associated protein 126"
,,MORN5,"Id: ENSG00000185681, Name: MORN repeat containing 5"
,,TMEM190,"Id: ENSG00000160472, Name: transmembrane protein 190"
,,ZMYND10,"Id: ENSG00000004838, Name: zinc finger MYND-type containing 10"
,,GTF2I,"Id: ENSG00000263001, Name: general transcription factor IIi"
,,PPIL6,"Id: ENSG00000185250, Name: peptidylprolyl isomerase like 6"
,,METRN,"Id: ENSG00000103260, Name: meteorin, glial cell differentiation regulator"
,,DYNC2I1,"Id: ENSG00000126870, Name: dynein 2 intermediate chain 1"
,,LRRC23,"Id: ENSG00000010626, Name: leucine rich repeat containing 23"
,,MUC1,"Id: ENSG00000185499, Name: mucin 1, cell surface associated"
,,EFHC1,"Id: ENSG00000096093, Name: EF-hand domain containing 1"
